id,password,email,login,date_joined,first_name,last_name,phone_number,balance
1,password_1,email_1@testmail.ru,login_1,2018-04-28,name_1,surname_1,79999710973,973387
2,password_2,email_2@testmail.ru,login_2,2018-03-21,name_2,surname_2,79884200423,998175
3,password_3,email_3@testmail.ru,login_3,2017-07-18,name_3,surname_3,79629427063,91129
4,password_4,email_4@testmail.ru,login_4,2017-10-16,name_4,surname_4,79403315273,273779
5,password_5,email_5@testmail.ru,login_5,2017-08-29,name_5,surname_5,79765996243,686084
6,password_6,email_6@testmail.ru,login_6,2018-04-21,name_6,surname_6,79542322450,251385
7,password_7,email_7@testmail.ru,login_7,2018-05-29,name_7,surname_7,79038748397,795070
8,password_8,email_8@testmail.ru,login_8,2017-12-11,name_8,surname_8,79335060984,939017
9,password_9,email_9@testmail.ru,login_9,2017-12-14,name_9,surname_9,79747881560,951924
10,password_10,email_10@testmail.ru,login_10,2017-06-27,name_10,surname_10,79148345738,587912
11,password_11,email_11@testmail.ru,login_11,2017-07-20,name_11,surname_11,79198000355,57348
12,password_12,email_12@testmail.ru,login_12,2017-07-25,name_12,surname_12,79665609703,515796
13,password_13,email_13@testmail.ru,login_13,2017-06-02,name_13,surname_13,79898237900,554477
14,password_14,email_14@testmail.ru,login_14,2017-07-12,name_14,surname_14,79601755862,159798
15,password_15,email_15@testmail.ru,login_15,2017-11-21,name_15,surname_15,79215208886,42350
16,password_16,email_16@testmail.ru,login_16,2017-11-25,name_16,surname_16,79423517079,14369
17,password_17,email_17@testmail.ru,login_17,2017-08-19,name_17,surname_17,79891857971,674242
18,password_18,email_18@testmail.ru,login_18,2017-06-04,name_18,surname_18,79058371029,647397
19,password_19,email_19@testmail.ru,login_19,2018-01-05,name_19,surname_19,79995379963,550666
20,password_20,email_20@testmail.ru,login_20,2018-01-04,name_20,surname_20,79509621284,474637
21,password_21,email_21@testmail.ru,login_21,2018-05-15,name_21,surname_21,79369795739,152202
22,password_22,email_22@testmail.ru,login_22,2017-06-22,name_22,surname_22,79648066219,795530
23,password_23,email_23@testmail.ru,login_23,2017-11-01,name_23,surname_23,79571860990,256953
24,password_24,email_24@testmail.ru,login_24,2017-12-19,name_24,surname_24,79531723632,654500
25,password_25,email_25@testmail.ru,login_25,2018-04-15,name_25,surname_25,79605655046,947629
26,password_26,email_26@testmail.ru,login_26,2017-06-24,name_26,surname_26,79518177573,785341
27,password_27,email_27@testmail.ru,login_27,2018-02-03,name_27,surname_27,79745289388,477994
28,password_28,email_28@testmail.ru,login_28,2017-10-11,name_28,surname_28,79451078635,334305
29,password_29,email_29@testmail.ru,login_29,2018-02-21,name_29,surname_29,79168537993,889661
30,password_30,email_30@testmail.ru,login_30,2017-08-01,name_30,surname_30,79896634914,199783
31,password_31,email_31@testmail.ru,login_31,2018-04-12,name_31,surname_31,79031447898,303636
32,password_32,email_32@testmail.ru,login_32,2018-01-10,name_32,surname_32,79539850069,329017
33,password_33,email_33@testmail.ru,login_33,2018-01-22,name_33,surname_33,79688337448,155294
34,password_34,email_34@testmail.ru,login_34,2018-01-01,name_34,surname_34,79675906359,263427
35,password_35,email_35@testmail.ru,login_35,2017-07-19,name_35,surname_35,79979491666,161075
36,password_36,email_36@testmail.ru,login_36,2017-10-22,name_36,surname_36,79057171825,439678
37,password_37,email_37@testmail.ru,login_37,2017-08-13,name_37,surname_37,79551529811,735888
38,password_38,email_38@testmail.ru,login_38,2017-10-25,name_38,surname_38,79891035272,904014
39,password_39,email_39@testmail.ru,login_39,2018-05-28,name_39,surname_39,79899166382,888694
40,password_40,email_40@testmail.ru,login_40,2017-12-27,name_40,surname_40,79206050091,912152
41,password_41,email_41@testmail.ru,login_41,2017-07-16,name_41,surname_41,79954321402,552736
42,password_42,email_42@testmail.ru,login_42,2017-08-26,name_42,surname_42,79949635448,702205
43,password_43,email_43@testmail.ru,login_43,2018-03-04,name_43,surname_43,79178050482,481670
44,password_44,email_44@testmail.ru,login_44,2017-08-13,name_44,surname_44,79766911916,469333
45,password_45,email_45@testmail.ru,login_45,2018-01-07,name_45,surname_45,79154613597,919236
46,password_46,email_46@testmail.ru,login_46,2018-01-16,name_46,surname_46,79765775210,96219
47,password_47,email_47@testmail.ru,login_47,2018-03-19,name_47,surname_47,79353023865,810061
48,password_48,email_48@testmail.ru,login_48,2018-03-18,name_48,surname_48,79328208657,228188
49,password_49,email_49@testmail.ru,login_49,2017-08-21,name_49,surname_49,79858578227,261279
50,password_50,email_50@testmail.ru,login_50,2017-12-08,name_50,surname_50,79846016883,595408
51,password_51,email_51@testmail.ru,login_51,2017-09-27,name_51,surname_51,79481817298,10294
